_id,RSN,YEAR REGISTERED,YEAR BUILT,YEAR EVALUATED,PROPERTY TYPE,WARDNAME,SITE ADDRESS,CONFIRMED STOREYS,CONFIRMED UNITS,EVALUATION COMPLETED ON,CURRENT BUILDING EVAL SCORE,PROACTIVE BUILDING SCORE,CURRENT REACTIVE SCORE,NO OF AREAS EVALUATED,EXTERIOR GROUNDS,BUILDING EXTERIOR,BALCONY GUARDS,WINDOWS,EXT. RECEPTACLE STORAGE AREA,EXTERIOR WALKWAYS,INTERCOM,EMERGENCY CONTACT SIGN,LOBBY FLOORS,LAUNDRY ROOM,INT. RECEPTACLE STORAGE AREA,MAIL RECEPTACLES,EXTERIOR DOORS,POOLS,OTHER AMENITIES,PARKING AREAS,ELEVATOR MAINTENANCE,INTERIOR HALLWAY FLOORS,COMMON AREA VENTILATION,ELECTRICAL SERVICES / OUTLETS,STAIRWELL - WALLS AND CEILING,STAIRWELL - LANDING AND STEPS,STAIRWELL LIGHTING,INT. HANDRAIL / GUARD - SAFETY,GRAFFITI,BUILDING CLEANLINESS,COMMON AREA PESTS,TENANT NOTIFICATION BOARD,CLEANING LOG,VITAL SERVICE PLAN,ELECTRICAL SAFETY PLAN,STATE OF GOOD REPAIR PLAN,TENANT SERVICE REQUEST LOG,GRID,LATITUDE,LONGITUDE,X,Y,BUILDING SCORE CATEGORY
1039,5355083,2023,1960,2024,PRIVATE,Beaches-East York,2914 ST CLAIR AVE E,3,12,2024-09-24,80,80,0,34,3,2,-1,2,2,1,3,3,2,2,-1,3,3,-1,-1,-1,-1,2,-1,3,2,2,3,1,1,2,3,3,3,3,3,3,3,S1924,43,-79,320843,4840726,Good
1040,5355118,2023,1960,2024,PRIVATE,Beaches-East York,2916 ST CLAIR AVE E,3,12,2024-09-24,81,81,0,34,3,2,-1,2,2,1,3,3,2,2,-1,3,3,-1,-1,-1,-1,2,-1,3,2,2,3,1,3,2,3,3,3,3,3,3,3,S1924,43,-79,320866,4840733,Good
1041,4154063,2017,1956,2023,PRIVATE,Beaches-East York,2920 ST CLAIR AVE E,4,15,2023-09-27,80,80,0,39,3,2,3,2,3,2,2,3,2,2,-1,2,3,-1,-1,2,-1,2,-1,3,3,3,3,3,3,2,3,2,1,1,1,3,1,S1924,43,-79,320886,4840743,Good
1042,4154063,2017,1956,2025,PRIVATE,Beaches-East York,2920 ST CLAIR AVE E,4,15,2025-11-20,92,92,0,39,3,3,2,3,3,2,3,3,3,3,-1,3,3,-1,-1,2,-1,2,-1,3,3,3,3,3,3,3,3,3,2,3,1,3,3,S1924,43,-79,320886,4840743,Excellent
1043,4154062,2017,1956,2023,PRIVATE,Beaches-East York,2922 ST CLAIR AVE E,4,16,2023-06-17,89,89,0,38,3,3,-1,3,3,3,3,3,2,2,-1,3,3,-1,-1,3,-1,2,3,3,3,3,2,3,3,3,3,2,1,1,1,1,1,S1924,43,-79,320910,4840747,Good
1044,4154062,2017,1956,2025,PRIVATE,Beaches-East York,2922 ST CLAIR AVE E,4,16,2025-11-05,93,93,0,40,3,3,-1,2,3,3,3,3,3,3,-1,3,3,3,-1,3,-1,3,3,3,3,2,3,3,3,3,3,3,3,3,1,3,1,S1924,43,-79,320910,4840747,Excellent
1045,4155843,2017,1952,2023,PRIVATE,Scarborough Southwest,3214 ST CLAIR AVE E,3,16,2023-09-25,90,90,0,38,3,2,-1,2,3,2,3,3,3,3,-1,3,3,-1,-1,3,-1,3,-1,3,2,3,3,1,3,3,3,2,3,3,3,1,3,E2021,43,-79,321703,4840967,Good
1046,4155843,2017,1952,2025,PRIVATE,Scarborough Southwest,3214 ST CLAIR AVE E,3,16,2025-09-05,95,95,0,37,3,2,-1,2,3,3,3,3,3,3,-1,3,3,-1,-1,3,-1,3,-1,3,3,2,3,3,3,3,3,3,3,3,3,3,3,E2021,43,-79,321703,4840967,Excellent
1047,4156305,2017,1952,2024,PRIVATE,Scarborough Southwest,3218 ST CLAIR AVE E,3,16,2024-09-10,89,89,0,36,3,3,-1,3,3,2,3,2,3,2,-1,2,3,-1,-1,3,-1,3,-1,3,3,3,3,1,3,2,3,3,3,2,2,2,3,E2021,43,-79,321720,4840950,Good
1048,4156306,2017,1952,2023,PRIVATE,Scarborough Southwest,3222 ST CLAIR AVE E,3,16,2023-09-26,90,90,0,38,3,2,-1,2,3,3,3,3,3,3,-1,3,3,-1,-1,3,-1,3,-1,3,2,3,3,1,3,3,3,1,3,3,3,1,3,E2021,43,-79,321729,4840952,Good
